Name;Max Phase;Molecular Weight;AlogP;Topological Polar Surface Area;Rotatable Bond Count;Inorganic Flag;Heavy Atom Count;Hydrogen Bond Acceptor Count;Hydrogen Bond Donor Count;Molecular Formula;positive charge;negative charge;target system;double bond equivalents
FURAZIDIN;0;264.2;0.74;118.05;4.0;0;19.0;9.0;1.0;C10H8N4O5;0;0;ANTIINFECTIVES;9.0
TETRACYCLINE;4;444.44;-0.21;181.62;2.0;0;32.0;10.0;7.0;C22H24N2O8;1;1;ANTIINFECTIVES;12.0
MOROXYDINE;0;171.2;-1.47;100.72;0.0;0;12.0;6.0;5.0;C6H13N5O;1;0;ANTIINFECTIVES;3.0
OXACILLIN;4;401.44;1.9;112.74;4.0;0;28.0;8.0;2.0;C19H19N3O5S;0;1;ANTIINFECTIVES;12.0
CEFTIZOXIME;4;383.41;-0.56;147.21;5.0;0;25.0;10.0;4.0;C13H13N5O5S2;0;1;ANTIINFECTIVES;10.0
TEDIZOLID;4;370.34;1.4;106.26;4.0;0;27.0;9.0;1.0;C17H15FN6O3;0;0;ANTIINFECTIVES;13.0
CEPHAPIRIN;4;423.47;0.48;125.9;7.0;0;28.0;9.0;2.0;C17H17N3O6S2;0;1;ANTIINFECTIVES;11.0
METHENAMINE;4;140.19;-1.02;12.96;0.0;0;10.0;4.0;0.0;C6H12N4;0;0;ANTIINFECTIVES;3.0
ENISAMIUM IODIDE;3;354.19;1.44;32.98;3.0;0;17.0;3.0;1.0;C14H15IN2O;0;0;ANTIINFECTIVES;8.0
RIBOSTAMYCIN;0;454.48;-6.65;262.38;6.0;0;31.0;14.0;14.0;C17H34N4O10;1;0;ANTIINFECTIVES;3.0
AMPRENAVIR;4;505.64;2.4;131.19;11.0;0;35.0;9.0;4.0;C25H35N3O6S;0;0;ANTIINFECTIVES;10.0
ISONIAZID;4;137.14;-0.31;68.01;1.0;0;10.0;4.0;3.0;C6H7N3O;0;0;ANTIINFECTIVES;5.0
TELBIVUDINE;4;242.23;-1.51;104.55;2.0;0;17.0;7.0;3.0;C10H14N2O5;0;0;ANTIINFECTIVES;5.0
SULFATHIOUREA;0;231.3;-0.21;98.21;2.0;0;14.0;5.0;5.0;C7H9N3O2S2;0;1;ANTIINFECTIVES;5.0
JOSAMYCIN;3;828.01;3.01;206.05;12.0;0;58.0;16.0;3.0;C42H69NO15;0;0;ANTIINFECTIVES;9.0
EPICILLIN;0;351.43;0.22;112.73;4.0;0;24.0;7.0;4.0;C16H21N3O4S;0;1;ANTIINFECTIVES;8.0
SULFADIAZINE;4;250.28;0.86;97.97;3.0;0;17.0;6.0;3.0;C10H10N4O2S;0;0;ANTIINFECTIVES;8.0
SISOMICIN;3;447.53;-3.85;213.72;6.0;0;31.0;12.0;12.0;C19H37N5O7;1;0;ANTIINFECTIVES;4.0
SPECTINOMYCIN;4;332.35;-2.93;129.51;2.0;0;23.0;9.0;5.0;C14H24N2O7;1;0;ANTIINFECTIVES;4.0
INDINAVIR;4;613.8;2.87;118.03;11.0;0;45.0;9.0;4.0;C36H47N5O4;0;0;ANTIINFECTIVES;16.0
ISEPAMICIN;0;569.61;-7.52;297.72;9.0;0;39.0;17.0;15.0;C22H43N5O12;1;0;ANTIINFECTIVES;4.0
SULTAMICILLIN;4;594.67;-0.59;182.48;7.0;0;40.0;13.0;3.0;C25H30N4O9S2;0;0;ANTIINFECTIVES;13.0
RUFLOXACIN;0;363.41;1.7;65.78;2.0;0;25.0;6.0;1.0;C17H18FN3O3S;0;1;ANTIINFECTIVES;10.0
CABOTEGRAVIR;4;405.36;0.96;100.87;3.0;0;29.0;8.0;2.0;C19H17F2N3O5;0;0;ANTIINFECTIVES;12.0
CEFADROXIL;4;363.39;0.15;132.96;4.0;0;25.0;8.0;5.0;C16H17N3O5S;0;1;ANTIINFECTIVES;10.0
AZIDOCILLIN;0;375.41;1.67;135.47;5.0;0;26.0;9.0;2.0;C16H17N5O4S;0;1;ANTIINFECTIVES;11.0
DACLATASVIR;4;738.89;6.22;174.64;11.0;0;54.0;14.0;4.0;C40H50N8O6;0;0;ANTIINFECTIVES;20.0
PHENETHICILLIN;4;364.42;1.09;95.94;5.0;0;25.0;7.0;2.0;C17H20N2O5S;0;1;ANTIINFECTIVES;9.0
LETERMOVIR;4;572.56;5.71;77.84;6.0;0;41.0;8.0;1.0;C29H28F4N4O4;0;1;ANTIINFECTIVES;16.0
FLURITHROMYCIN;0;751.93;1.88;193.91;7.0;0;52.0;14.0;5.0;C37H66FNO13;0;0;ANTIINFECTIVES;5.0
SULFATHIAZOLE;4;255.32;1.53;85.08;3.0;0;16.0;5.0;3.0;C9H9N3O2S2;0;0;ANTIINFECTIVES;7.0
GRAZOPREVIR;4;766.92;3.3;195.22;7.0;0;54.0;15.0;3.0;C38H50N6O9S;0;1;ANTIINFECTIVES;17.0
PROCAINE BENZYLPENICILLIN;4;570.71;2.2030541598557356;168.0;11.0;0;40.0;9.0;3.0;C29H38N4O6S;0;0;ANTIINFECTIVES;13.0
SULBACTAM;4;233.25;-0.79;91.75;1.0;0;15.0;6.0;1.0;C8H11NO5S;0;1;ANTIINFECTIVES;4.0
NEVIRAPINE;4;266.3;2.65;58.12;1.0;0;20.0;5.0;1.0;C15H14N4O;0;0;ANTIINFECTIVES;11.0
BEKANAMYCIN;3;483.52;-7.33;288.4;6.0;0;33.0;15.0;16.0;C18H37N5O10;1;0;ANTIINFECTIVES;3.0
ICLAPRIM;3;354.41;2.43;105.51;5.0;0;26.0;7.0;4.0;C19H22N4O3;0;0;ANTIINFECTIVES;11.0
GEMIFLOXACIN;4;389.39;0.97;123.04;5.0;0;28.0;9.0;3.0;C18H20FN5O4;1;1;ANTIINFECTIVES;11.0
PENCICLOVIR;4;253.26;-0.9;130.31;5.0;0;18.0;8.0;5.0;C10H15N5O3;0;0;ANTIINFECTIVES;6.0
INOSINE PRANOBEX;4;1115.25;1.3490879699323353;399.0;14.0;0;79.0;22.0;13.0;C52H78N10O17;0;0;ANTIINFECTIVES;19.0
ENTECAVIR;4;277.28;-0.83;130.05;2.0;0;20.0;8.0;5.0;C12H15N5O3;0;0;ANTIINFECTIVES;8.0
CEFOTAXIME;4;455.47;-0.62;173.51;7.0;0;30.0;12.0;4.0;C16H17N5O7S2;0;1;ANTIINFECTIVES;11.0
FOSFONET;0;140.03;-0.75;94.83;2.0;0;8.0;5.0;3.0;C2H5O5P;0;1;ANTIINFECTIVES;0.5
CEFAMANDOLE;4;462.51;-0.23;150.54;7.0;0;31.0;11.0;3.0;C18H18N6O5S2;0;1;ANTIINFECTIVES;13.0
CEFMENOXIME;4;511.57;-0.87;190.81;8.0;0;33.0;14.0;4.0;C16H17N9O5S3;0;1;ANTIINFECTIVES;13.0
SULFAMERAZINE;4;264.31;1.17;97.97;3.0;0;18.0;6.0;3.0;C11H12N4O2S;0;0;ANTIINFECTIVES;8.0
PIPERACILLIN;4;517.56;-0.24;156.43;6.0;0;36.0;12.0;3.0;C23H27N5O7S;0;1;ANTIINFECTIVES;13.0
MORINAMIDE;0;222.25;-0.5;67.35;3.0;0;16.0;6.0;1.0;C10H14N4O2;0;0;ANTIINFECTIVES;6.0
ZALCITABINE;4;211.22;-0.5;90.37;2.0;0;15.0;6.0;3.0;C9H13N3O3;0;0;ANTIINFECTIVES;5.0
FLEROXACIN;0;369.34;1.7;65.78;4.0;0;26.0;6.0;1.0;C17H18F3N3O3;0;1;ANTIINFECTIVES;9.0
DASABUVIR;4;493.59;4.02;110.26;5.0;0;35.0;8.0;2.0;C26H27N3O5S;0;0;ANTIINFECTIVES;15.0
TALAMPICILLIN;4;481.53;1.65;128.03;5.0;0;34.0;9.0;3.0;C24H23N3O6S;0;0;ANTIINFECTIVES;15.0
FOSFOMYCIN;4;138.06;-0.09;70.06;1.0;0;8.0;4.0;2.0;C3H7O4P;0;1;ANTIINFECTIVES;0.5
LEVOFLOXACIN;4;361.37;1.54;75.01;2.0;0;26.0;7.0;1.0;C18H20FN3O4;0;1;ANTIINFECTIVES;10.0
BEDAQUILINE;4;555.52;7.13;45.59;8.0;0;37.0;4.0;1.0;C32H31BrN2O2;1;0;ANTIINFECTIVES;18.0
RIMANTADINE;4;179.31;2.55;26.02;1.0;0;13.0;1.0;2.0;C12H21N;1;0;ANTIINFECTIVES;3.0
ARBEKACIN;0;552.63;-6.4;297.27;10.0;0;38.0;16.0;16.0;C22H44N6O10;1;0;ANTIINFECTIVES;4.0
OLEANDOMYCIN;0;687.87;1.91;165.98;6.0;0;48.0;13.0;3.0;C35H61NO12;0;0;ANTIINFECTIVES;6.0
DORIPENEM;4;420.51;-1.6;162.06;7.0;0;27.0;10.0;6.0;C15H24N4O6S2;1;1;ANTIINFECTIVES;6.0
AMPICILLIN;4;349.41;0.32;112.73;4.0;0;24.0;7.0;4.0;C16H19N3O4S;0;1;ANTIINFECTIVES;9.0
TECOVIRIMAT;4;376.33;2.4;66.48;2.0;0;27.0;5.0;1.0;C19H15F3N2O3;0;0;ANTIINFECTIVES;12.0
ASPOXICILLIN;0;493.54;-1.36;191.16;8.0;0;34.0;12.0;7.0;C21H27N5O7S;0;1;ANTIINFECTIVES;11.0
RIFAMPIN;4;822.95;4.34;220.15;4.0;0;59.0;16.0;6.0;C43H58N4O12;0;0;ANTIINFECTIVES;17.0
CLINDAMYCIN;4;424.99;0.39;102.26;7.0;0;27.0;7.0;4.0;C18H33ClN2O5S;0;0;ANTIINFECTIVES;3.0
AMIKACIN;4;585.61;-8.42;331.94;10.0;0;40.0;18.0;17.0;C22H43N5O13;1;0;ANTIINFECTIVES;4.0
VANCOMYCIN;4;1449.27;1.1414848031811546;531.0;13.0;0;101.0;26.0;19.0;C66H75Cl2N9O24;0;0;ANTIINFECTIVES;33.0
RITONAVIR;4;720.96;5.91;145.78;17.0;0;50.0;11.0;4.0;C37H48N6O5S2;0;0;ANTIINFECTIVES;17.0
AZLOCILLIN;4;461.5;0.09;148.15;5.0;0;32.0;11.0;4.0;C20H23N5O6S;0;1;ANTIINFECTIVES;12.0
TIOCARLIDE;0;400.59;6.35;42.52;10.0;0;28.0;4.0;2.0;C23H32N2O2S;0;0;ANTIINFECTIVES;9.0
SITAFLOXACIN;2;427.84;2.7;88.56;3.0;0;28.0;6.0;3.0;C19H20ClF2N3O4;1;1;ANTIINFECTIVES;10.0
RIFAPENTINE;4;877.04;5.65;220.15;5.0;0;63.0;16.0;6.0;C47H64N4O12;0;0;ANTIINFECTIVES;18.0
VALACYCLOVIR;4;324.34;-0.8;151.14;7.0;0;23.0;10.0;5.0;C13H20N6O4;0;0;ANTIINFECTIVES;7.0
CEFMETAZOLE;4;471.55;-0.73;163.33;9.0;0;30.0;12.0;2.0;C15H17N7O5S3;0;1;ANTIINFECTIVES;11.0
PROTIONAMIDE;4;180.28;1.67;38.91;3.0;0;12.0;2.0;2.0;C9H12N2S;0;0;ANTIINFECTIVES;5.0
CEFIXIME;4;453.46;-0.54;184.51;8.0;0;30.0;12.0;5.0;C16H15N5O7S2;0;1;ANTIINFECTIVES;12.0
SULFOXONE SODIUM;4;448.45;1.7;132.8;8.0;0;25.0;8.0;4.0;C14H14N2Na2O6S3;0;1;ANTIINFECTIVES;9.0
AZTREONAM;4;435.44;-1.17;201.58;7.0;0;28.0;13.0;5.0;C13H17N5O8S2;0;1;ANTIINFECTIVES;8.0
IDOXURIDINE;4;354.1;-1.22;104.55;2.0;0;17.0;7.0;3.0;C9H11IN2O5;0;0;ANTIINFECTIVES;5.0
LYMECYCLINE;4;602.64;-0.45;242.98;10.0;0;43.0;14.0;10.0;C29H38N4O10;1;1;ANTIINFECTIVES;13.0
MOXIFLOXACIN;4;401.44;2.37;83.8;4.0;0;29.0;7.0;2.0;C21H24FN3O4;1;1;ANTIINFECTIVES;11.0
CHLORTETRACYCLINE;4;478.89;0.44;181.62;2.0;0;33.0;10.0;7.0;C22H23ClN2O8;1;1;ANTIINFECTIVES;12.0
STAVUDINE;4;224.22;-0.71;84.32;2.0;0;16.0;6.0;2.0;C10H12N2O4;0;0;ANTIINFECTIVES;6.0
TRIMETHOPRIM;4;290.32;1.26;105.51;5.0;0;21.0;7.0;4.0;C14H18N4O3;0;0;ANTIINFECTIVES;8.0
LEFAMULIN;4;507.74;3.87;109.85;5.0;0;35.0;6.0;4.0;C28H45NO5S;1;0;ANTIINFECTIVES;7.0
AMINOSALICYLIC ACID;4;153.14;0.67;83.55;1.0;0;11.0;4.0;4.0;C7H7NO3;0;1;ANTIINFECTIVES;5.0
TELAVANCIN;4;1755.66;1.4579972255096871;598.0;30.0;0;121.0;31.0;23.0;C80H106Cl2N11O27P;0;0;ANTIINFECTIVES;32.5
CEFTEZOLE;0;440.49;-0.94;156.09;7.0;0;28.0;12.0;2.0;C13H12N8O4S3;0;1;ANTIINFECTIVES;12.0
CEFMINOX;0;519.59;-1.84;202.86;11.0;0;33.0;14.0;5.0;C16H21N7O7S3;1;1;ANTIINFECTIVES;10.0
CEFROXADINE;0;365.41;-0.07;121.96;5.0;0;25.0;8.0;4.0;C16H19N3O5S;0;1;ANTIINFECTIVES;9.0
CEFDINIR;4;395.42;-0.17;158.21;5.0;0;26.0;10.0;5.0;C14H13N5O5S2;0;1;ANTIINFECTIVES;11.0
ZANAMIVIR;4;332.31;-3.58;198.22;6.0;0;23.0;11.0;9.0;C12H20N4O7;1;1;ANTIINFECTIVES;5.0
MEROPENEM;4;383.47;-0.31;110.18;5.0;0;26.0;8.0;3.0;C17H25N3O5S;1;1;ANTIINFECTIVES;7.0
GARENOXACIN;0;426.42;4.47;80.56;5.0;0;31.0;6.0;2.0;C23H20F2N2O4;1;1;ANTIINFECTIVES;14.0
CEFOPERAZONE;4;645.68;-1.11;220.26;9.0;0;44.0;17.0;4.0;C25H27N9O8S2;0;1;ANTIINFECTIVES;17.0
LORACARBEF;4;367.79;0.71;112.73;4.0;0;24.0;7.0;4.0;C16H18ClN3O5;0;1;ANTIINFECTIVES;9.0
CEFUROXIME;4;424.39;-0.54;173.76;7.0;0;29.0;12.0;4.0;C16H16N4O8S;0;1;ANTIINFECTIVES;11.0
LINCOMYCIN;4;406.55;-0.86;122.49;7.0;0;27.0;8.0;5.0;C18H34N2O6S;0;0;ANTIINFECTIVES;3.0
CLOXACILLIN;4;435.89;2.55;112.74;4.0;0;29.0;8.0;2.0;C19H18ClN3O5S;0;1;ANTIINFECTIVES;12.0
CEFONICID;4;542.58;-0.92;204.91;9.0;0;35.0;14.0;4.0;C18H18N6O8S3;0;1;ANTIINFECTIVES;13.0
PENAMECILLIN;4;406.46;0.84;102.01;6.0;0;28.0;8.0;1.0;C19H22N2O6S;0;0;ANTIINFECTIVES;10.0
SODIUM AMINOSALICYLATE;0;175.12;0.67;83.55;1.0;0;11.0;4.0;4.0;C7H6NNaO3;0;1;ANTIINFECTIVES;5.5
PENIMEPICYCLINE;0;937.04;1.6128717181725634;316.0;11.0;0;66.0;18.0;9.0;C45H56N6O14S;0;0;ANTIINFECTIVES;21.0
AMPHOTERICIN B;4;924.09;0.71;319.61;3.0;0;65.0;18.0;13.0;C47H73NO17;1;1;ANTIINFECTIVES;12.0
ELVITEGRAVIR;4;447.89;4.28;88.76;7.0;0;31.0;6.0;2.0;C23H23ClFNO5;0;1;ANTIINFECTIVES;12.0
CEFDITOREN;0;506.59;1.29;160.1;7.0;0;33.0;11.0;4.0;C19H18N6O5S3;0;1;ANTIINFECTIVES;14.0
BOCEPREVIR;4;519.69;1.71;150.7;8.0;0;37.0;10.0;5.0;C27H45N5O5;0;0;ANTIINFECTIVES;8.0
CEFTOBIPROLE MEDOCARIL;3;712.65;-0.54;264.3;8.0;0;47.0;19.0;5.0;C26H25N8NaO11S2;0;1;ANTIINFECTIVES;18.5
CEFBUPERAZONE;0;627.66;-2.84;229.49;10.0;0;42.0;18.0;4.0;C22H29N9O9S2;0;1;ANTIINFECTIVES;13.0
PERAMIVIR;4;328.41;-0.14;148.53;7.0;0;23.0;8.0;7.0;C15H28N4O4;1;1;ANTIINFECTIVES;4.0
ENOXACIN;4;320.32;0.66;87.46;3.0;0;23.0;7.0;2.0;C15H17FN4O3;1;1;ANTIINFECTIVES;9.0
TROMANTADINE;0;280.41;1.65;41.57;6.0;0;20.0;4.0;1.0;C16H28N2O2;1;0;ANTIINFECTIVES;4.0
CYCLOSERINE;4;102.09;-1.62;64.35;0.0;0;7.0;4.0;3.0;C3H6N2O2;0;1;ANTIINFECTIVES;2.0
METHICILLIN;4;380.42;0.95;105.17;5.0;0;26.0;8.0;2.0;C17H20N2O6S;0;1;ANTIINFECTIVES;9.0
PENICILLIN V BENZATHINE;0;941.14;0.7;95.94;5.0;0;24.0;7.0;2.0;C48H56N6O10S2;0;1;ANTIINFECTIVES;24.0
DELAFLOXACIN;4;440.77;1.92;121.68;3.0;0;30.0;8.0;4.0;C18H12ClF3N4O4;0;1;ANTIINFECTIVES;13.0
DOLUTEGRAVIR;4;419.38;1.35;100.87;3.0;0;30.0;8.0;2.0;C20H19F2N3O5;0;0;ANTIINFECTIVES;12.0
CEFAZEDONE;0;548.46;1.85;134.49;7.0;0;33.0;10.0;2.0;C18H15Cl2N5O5S3;0;1;ANTIINFECTIVES;13.0
SPARFLOXACIN;4;392.41;2.08;100.59;3.0;0;28.0;7.0;4.0;C19H22F2N4O3;1;1;ANTIINFECTIVES;10.0
CEFACLOR;4;385.83;0.62;112.73;4.0;0;24.0;7.0;4.0;C15H16ClN3O5S;0;1;ANTIINFECTIVES;9.0
DAPSONE;4;248.31;1.68;86.18;2.0;0;17.0;4.0;4.0;C12H12N2O2S;0;0;ANTIINFECTIVES;8.0
EFAVIRENZ;4;315.68;4.07;38.33;0.0;0;21.0;3.0;1.0;C14H9ClF3NO2;0;0;ANTIINFECTIVES;9.0
OSELTAMIVIR;4;312.41;1.29;90.65;7.0;0;22.0;6.0;3.0;C16H28N2O4;1;0;ANTIINFECTIVES;4.0
MANDELIC ACID;4;152.15;0.8;57.53;2.0;0;11.0;3.0;2.0;C8H8O3;0;1;ANTIINFECTIVES;5.0
CEFODIZIME;4;584.68;1.0;197.4;10.0;0;37.0;13.0;5.0;C20H20N6O7S4;0;1;ANTIINFECTIVES;14.0
CEFTIBUTEN;4;410.43;-0.05;162.92;6.0;0;27.0;10.0;5.0;C15H14N4O6S2;0;1;ANTIINFECTIVES;11.0
TILORONE;0;410.56;4.34;42.01;12.0;0;30.0;5.0;0.0;C25H34N2O3;1;0;ANTIINFECTIVES;10.0
BRODIMOPRIM;0;339.19;2.01;96.28;4.0;0;20.0;6.0;4.0;C13H15BrN4O2;0;0;ANTIINFECTIVES;8.0
CEFSULODIN;4;532.56;-0.9;190.88;8.0;0;36.0;12.0;4.0;C22H20N4O8S2;0;1;ANTIINFECTIVES;15.0
METHISAZONE;0;234.28;0.2;70.72;1.0;0;16.0;5.0;3.0;C10H10N4OS;0;0;ANTIINFECTIVES;8.0
FLOXACILLIN;4;453.88;2.69;112.74;4.0;0;30.0;8.0;2.0;C19H17ClFN3O5S;0;1;ANTIINFECTIVES;12.0
CHLORAMPHENICOL;4;323.13;0.91;112.7;6.0;0;20.0;7.0;3.0;C11H12Cl2N2O5;0;0;ANTIINFECTIVES;6.0
PIROMIDIC ACID;0;288.31;1.11;88.32;3.0;0;21.0;7.0;1.0;C14H16N4O3;0;1;ANTIINFECTIVES;9.0
MARAVIROC;4;513.68;5.95;63.05;8.0;0;37.0;6.0;1.0;C29H41F2N5O;1;0;ANTIINFECTIVES;11.0
FALDAPREVIR;3;869.84;6.3;198.38;13.0;0;57.0;15.0;4.0;C40H49BrN6O9S;0;1;ANTIINFECTIVES;19.0
RIFABUTIN;4;847.02;4.62;205.55;4.0;0;61.0;15.0;5.0;C46H62N4O11;0;0;ANTIINFECTIVES;18.0
CEPHRADINE;4;349.41;0.35;112.73;4.0;0;24.0;7.0;4.0;C16H19N3O4S;0;1;ANTIINFECTIVES;9.0
DELAMANID;4;534.49;4.97;101.12;8.0;0;38.0;10.0;0.0;C25H25F3N4O6;0;0;ANTIINFECTIVES;14.0
RIBAVIRIN;4;244.21;-3.01;143.72;3.0;0;17.0;9.0;5.0;C8H12N4O5;0;0;ANTIINFECTIVES;5.0
ITRACONAZOLE;4;705.65;5.58;104.7;11.0;0;49.0;12.0;0.0;C35H38Cl2N8O4;0;0;ANTIINFECTIVES;20.0
FUSIDIC ACID;4;516.72;5.67;104.06;5.0;0;37.0;6.0;3.0;C31H48O6;0;1;ANTIINFECTIVES;8.0
DIBEKACIN;0;451.52;-5.27;247.94;6.0;0;31.0;13.0;14.0;C18H37N5O8;1;0;ANTIINFECTIVES;3.0
ETRAVIRINE;4;435.29;4.72;120.64;4.0;0;28.0;7.0;3.0;C20H15BrN6O;0;0;ANTIINFECTIVES;16.0
CEFETAMET;0;397.44;-0.17;147.21;5.0;0;26.0;10.0;4.0;C14H15N5O5S2;0;1;ANTIINFECTIVES;10.0
CEFOZOPRAN;0;515.54;-2.49;184.11;7.0;0;35.0;14.0;3.0;C19H17N9O5S2;0;1;ANTIINFECTIVES;16.0
TEBIPENEM PIVOXIL;3;497.64;1.67;108.74;6.0;0;33.0;9.0;1.0;C22H31N3O6S2;0;0;ANTIINFECTIVES;9.0
ROXITHROMYCIN;4;837.06;2.21;216.89;13.0;0;58.0;17.0;5.0;C41H76N2O15;1;0;ANTIINFECTIVES;5.0
TICARCILLIN;4;384.44;0.55;124.01;5.0;0;25.0;8.0;3.0;C15H16N2O6S2;0;1;ANTIINFECTIVES;9.0
TEMOCILLIN;3;414.46;0.52;133.24;6.0;0;27.0;9.0;3.0;C16H18N2O7S2;0;1;ANTIINFECTIVES;9.0
CASPOFUNGIN;4;1093.33;1.0478958903462567;412.0;23.0;0;77.0;18.0;16.0;C52H88N10O15;0;0;ANTIINFECTIVES;14.0
SAQUINAVIR;4;670.86;3.09;166.75;12.0;0;49.0;11.0;6.0;C38H50N6O5;0;0;ANTIINFECTIVES;17.0
CEFPIROME;4;514.59;-1.04;153.92;7.0;0;35.0;11.0;3.0;C22H22N6O5S2;0;1;ANTIINFECTIVES;15.0
ORNIDAZOLE;4;219.63;0.7;81.19;4.0;0;14.0;6.0;1.0;C7H10ClN3O3;0;0;ANTIINFECTIVES;4.0
ATAZANAVIR;4;704.87;4.21;171.22;14.0;0;51.0;13.0;5.0;C38H52N6O7;0;0;ANTIINFECTIVES;16.0
FOSCARNET;4;126.0;-0.16;94.83;1.0;0;7.0;5.0;3.0;CH3O5P;0;1;ANTIINFECTIVES;0.5
PENICILLIN V;4;350.4;0.7;95.94;5.0;0;24.0;7.0;2.0;C16H18N2O5S;0;1;ANTIINFECTIVES;9.0
CEPHALORIDINE;0;415.5;-0.32;93.42;6.0;0;28.0;7.0;1.0;C19H17N3O4S2;0;1;ANTIINFECTIVES;13.0
SULFAMETOMIDINE;0;294.34;1.18;107.2;4.0;0;20.0;7.0;3.0;C12H14N4O3S;0;0;ANTIINFECTIVES;8.0
PROPICILLIN;4;378.45;1.48;95.94;6.0;0;26.0;7.0;2.0;C18H22N2O5S;0;1;ANTIINFECTIVES;9.0
CEFOTIAM;4;525.64;-0.65;172.46;10.0;0;34.0;13.0;4.0;C18H23N9O4S3;0;1;ANTIINFECTIVES;12.0
METRONIDAZOLE;4;171.16;0.09;81.19;3.0;0;12.0;6.0;1.0;C6H9N3O3;0;0;ANTIINFECTIVES;4.0
ELBASVIR;4;882.03;8.12;188.8;11.0;0;65.0;16.0;4.0;C49H55N9O7;0;0;ANTIINFECTIVES;27.0
ABACAVIR;4;286.34;1.09;101.88;4.0;0;21.0;7.0;4.0;C14H18N6O;0;0;ANTIINFECTIVES;9.0
FLUMEQUINE;0;261.25;2.35;59.3;1.0;0;19.0;4.0;1.0;C14H12FNO3;0;1;ANTIINFECTIVES;9.0
RIFAMYCIN;4;697.78;4.75;201.31;2.0;0;50.0;13.0;6.0;C37H47NO12;0;0;ANTIINFECTIVES;15.0
ASUNAPREVIR;3;748.3;3.85;182.33;11.0;0;51.0;14.0;3.0;C35H46ClN5O9S;0;1;ANTIINFECTIVES;15.0
CLARITHROMYCIN;4;747.96;2.44;182.91;8.0;0;52.0;14.0;4.0;C38H69NO13;0;0;ANTIINFECTIVES;5.0
BENZYLPENICILLIN;4;334.4;0.86;86.71;4.0;0;23.0;6.0;2.0;C16H18N2O4S;0;1;ANTIINFECTIVES;9.0
DOXYCYCLINE;4;444.44;-0.35;181.62;2.0;0;32.0;10.0;7.0;C22H24N2O8;0;1;ANTIINFECTIVES;12.0
NAFCILLIN;4;414.48;2.48;95.94;5.0;0;29.0;7.0;2.0;C21H22N2O5S;0;1;ANTIINFECTIVES;12.0
CHLORAMPHENICOL SODIUM SUCCINATE;4;445.19;1.32;156.07;10.0;0;27.0;10.0;3.0;C15H15Cl2N2NaO8;0;1;ANTIINFECTIVES;8.5
SULFISOMIDINE;0;278.34;1.48;97.97;3.0;0;19.0;6.0;3.0;C12H14N4O2S;0;1;ANTIINFECTIVES;8.0
SULFAMETHAZINE;4;278.34;1.48;97.97;3.0;0;19.0;6.0;3.0;C12H14N4O2S;0;0;ANTIINFECTIVES;8.0
CEFTRIAXONE;4;554.59;-1.2;215.22;8.0;0;36.0;15.0;5.0;C18H18N8O7S3;0;1;ANTIINFECTIVES;14.0
CLOFOCTOL;0;365.34;7.0;20.23;4.0;0;24.0;1.0;1.0;C21H26Cl2O;0;0;ANTIINFECTIVES;8.0
TOBRAMYCIN;4;467.52;-6.3;268.17;6.0;0;32.0;14.0;15.0;C18H37N5O9;1;0;ANTIINFECTIVES;3.0
LOMEFLOXACIN;4;351.35;1.8;74.57;3.0;0;25.0;6.0;2.0;C17H19F2N3O3;1;1;ANTIINFECTIVES;9.0
OMADACYCLINE;4;556.66;1.32;176.66;6.0;0;40.0;11.0;7.0;C29H40N4O7;1;1;ANTIINFECTIVES;12.0
ERYTHROMYCIN;4;733.94;1.79;193.91;7.0;0;51.0;14.0;5.0;C37H67NO13;0;0;ANTIINFECTIVES;5.0
ACYCLOVIR;4;225.21;-0.92;119.31;4.0;0;16.0;8.0;4.0;C8H11N5O3;0;0;ANTIINFECTIVES;6.0
CEFEPIME;4;480.57;-1.28;150.04;7.0;0;32.0;11.0;3.0;C19H24N6O5S2;0;1;ANTIINFECTIVES;11.0
SULFAPYRIDINE;4;249.3;1.46;85.08;3.0;0;17.0;5.0;3.0;C11H11N3O2S;0;1;ANTIINFECTIVES;8.0
SULFADIMETHOXINE;4;310.34;0.88;116.43;5.0;0;21.0;8.0;3.0;C12H14N4O4S;0;0;ANTIINFECTIVES;8.0
CEFPROZIL;4;407.45;0.71;132.96;5.0;0;27.0;8.0;5.0;C18H21N3O6S;0;1;ANTIINFECTIVES;10.0
HETACILLIN;4;389.48;1.41;89.95;3.0;0;27.0;7.0;2.0;C19H23N3O4S;0;1;ANTIINFECTIVES;10.0
PYRAZINAMIDE;4;123.11;-0.42;68.87;1.0;0;9.0;4.0;2.0;C5H5N3O;0;0;ANTIINFECTIVES;5.0
EMTRICITABINE;4;247.25;-0.46;90.37;2.0;0;16.0;6.0;3.0;C8H10FN3O3S;0;0;ANTIINFECTIVES;5.0
THIAMPHENICOL;1;356.23;0.4;103.7;6.0;0;21.0;6.0;3.0;C12H15Cl2NO5S;0;0;ANTIINFECTIVES;5.0
CEPHALEXIN;4;365.41;0.44;112.73;4.0;0;24.0;7.0;4.0;C16H19N3O5S;0;1;ANTIINFECTIVES;9.0
TEMAFLOXACIN;4;417.39;2.9;74.57;3.0;0;30.0;6.0;2.0;C21H18F3N3O3;1;1;ANTIINFECTIVES;13.0
CARBENICILLIN INDANYL;4;494.57;2.5;113.01;6.0;0;35.0;8.0;2.0;C26H26N2O6S;0;1;ANTIINFECTIVES;15.0
